Run	Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Betaproteobacteria	Chloroplast	Clostridia	Deltaproteobacteria	Elusimicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fusobacteriia	Gammaproteobacteria	Lentisphaeria	Methanobacteria	Mollicutes	Negativicutes	Oligosphaeria	Opitutae	Saccharibacteria_genera_incertae_sedis	Spirochaetia	Subdivision5	Synergistia	Thermoplasmata	Unclassified Bacteroidetes Phylum	Unclassified Firmicutes Phylum	Unclassified Lentisphaerae Phylum	Unclassified Proteobacteria Phylum	Unclassified Verrucomicrobia Phylum	Verrucomicrobiae
SRR6979109	287	197	22	80423	1264	0	32075	22	3	1361	20	0	5	2703	1	0	0	2443	2	0	0	3297	2	0	0	2925	295	0	57	0	0
SRR6979110	124	476	22	51458	1255	3	31710	81	2	2701	76	2	14	127	0	0	16	5943	3	0	0	948	1	0	0	1802	447	0	80	0	0
SRR6979111	78	3702	2	23185	1762	0	41643	185	4253	70	69	293	0	1869	29	19	0	740	10849	187	18	4608	11321	18	527	2246	4220	383	771	2038	0
SRR6979112	369	170	13	52934	47	0	37573	97	1	4	213	0	0	454	0	17	3	4609	15	0	3	443	8	0	1	1578	548	0	17	0	0
SRR6979113	0	859	0	4778	98	0	2191	1	68	4378	0	0	0	67	0	0	0	885	0	0	0	439	173	0	0	111	75	0	20	9	0
SRR6979114	614	32	1	55814	217	0	42518	1243	175	18	58	1738	0	2936	0	0	17	4044	3	0	1592	1148	4	0	19	10750	617	0	30	1	0
SRR6979115	581	577	13	80870	311	0	40479	2046	2611	96	365	101	0	1172	3	27	5	23454	286	0	0	920	71	16	15	6144	1677	6	318	36	27
SRR6979116	1263	160	329	45921	118	3	56853	347	0	46	511	33	0	84	3	20	8	1398	25	0	4	334	171	0	12	1837	1717	5	217	92	0
SRR6979117	1924	173	1270	27606	112	1	59403	307	0	23	491	24	0	304	9	345	0	3506	109	1	5	599	85	6	9	6159	2205	4	29	12	0
SRR6979118	707	77	13	22217	157	1	54354	461	1	20	456	23	0	98	11	212	8	638	582	0	40	275	352	22	6	1875	2836	4	220	179	5
SRR6979119	177	298	17	11558	357	0	4805	258	249	1680	19	58	14	509	0	0	6	1674	132	0	56	287	239	0	5	642	206	3	10	59	0
SRR6979120	192	29	5	85402	338	3	52118	812	40	199	60	207	1	174	1	47	0	6072	9	3	24	2229	77	6	6	4047	1347	0	41	26	0
SRR6979121	279	1581	257	32735	230	1	39219	604	76	461	89	227	0	488	52	5	0	925	8744	71	8	5705	8431	2	83	5327	4889	306	2356	1994	2
SRR6979122	231	1115	1	60770	1985	0	27530	383	0	195	150	236	0	10834	307	4	0	1020	2583	446	4	1385	6206	3	114	2982	1616	83	395	664	0
SRR6979123	810	368	100	34049	219	0	30165	380	0	8942	311	118	0	143	0	7	0	2392	271	0	0	1080	334	0	37	1946	876	38	41	105	0
SRR6979124	160	351	19	77342	646	0	63957	984	2590	31	46	337	4	2570	0	189	0	2970	1268	2	17	2357	1704	34	158	5607	2214	25	720	740	0
