Run	Acetanaerobacterium	Aggregatibacter	Akkermansia	Alistipes	Allisonella	Alloprevotella	Anaerobacter	Anaerobacterium	Anaeroglobus	Anaeroplasma	Anaerostipes	Anaerotruncus	Anaerovibrio	Anaerovorax	Bacillus	Bacteroides	Barnesiella	Bilophila	Blautia	Brachyspira	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Catenibacterium	Cloacibacillus	Clostridium IV	Clostridium XlVa	Clostridium XlVb	Clostridium sensu stricto	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Delftia	Desulfovibrio	Dialister	Dorea	Eisenbergiella	Elusimicrobium	Enterorhabdus	Escherichia/Shigella	Ethanoligenens	Eubacterium	Faecalibacterium	Falsiporphyromonas	Fibrobacter	Flavonifractor	Fusicatenibacter	Fusobacterium	Gemmiger	Helicobacter	Holdemanella	Howardella	Hungatella	Hydrogenoanaerobacterium	Intestinibacter	Intestinimonas	Kandleria	Lachnospira	Lachnospiracea_incertae_sedis	Lactobacillus	Megasphaera	Methanobrevibacter	Methanomassiliicoccus	Murimonas	Neorhizobium	Oligosphaera	Olsenella	Oribacterium	Oscillibacter	Oxalobacter	Parabacteroides	Paraprevotella	Peptococcus	Phascolarctobacterium	Prevotella	Pseudoflavonifractor	Rhizobium	Robinsoniella	Romboutsia	Roseburia	Ruminococcus	Ruminococcus2	Saccharibacteria_genera_incertae_sedis	Schwartzia	Senegalimassilia	Slackia	Sphaerochaeta	Sphingomonas	Sporobacter	Streptococcus	Streptophyta	Subdivision5_genera_incertae_sedis	Succinivibrio	Sutterella	Treponema	Unclassified Acidaminococcaceae Family	Unclassified Actinobacteria Class	Unclassified Actinomycetales Order	Unclassified Alphaproteobacteria Class	Unclassified Bacillales Order	Unclassified Bacilli Class	Unclassified Bacteroidales Order	Unclassified Bacteroidetes Phylum	Unclassified Betaproteobacteria Class	Unclassified Burkholderiales Order	Unclassified Campylobacterales Order	Unclassified Clostridia Class	Unclassified Clostridiaceae 1 Family	Unclassified Clostridiales Order	Unclassified Comamonadaceae Family	Unclassified Coriobacteriaceae Family	Unclassified Deltaproteobacteria Class	Unclassified Desulfovibrionaceae Family	Unclassified Desulfovibrionales Order	Unclassified Enterobacteriaceae Family	Unclassified Epsilonproteobacteria Class	Unclassified Erysipelotrichaceae Family	Unclassified Firmicutes Phylum	Unclassified Gammaproteobacteria Class	Unclassified Helicobacteraceae Family	Unclassified Lachnospiraceae Family	Unclassified Lactobacillales Order	Unclassified Lentisphaerae Phylum	Unclassified Marinilabiliaceae Family	Unclassified Mollicutes Class	Unclassified Oxalobacteraceae Family	Unclassified Pasteurellaceae Family	Unclassified Peptostreptococcaceae Family	Unclassified Porphyromonadaceae Family	Unclassified Prevotellaceae Family	Unclassified Proteobacteria Phylum	Unclassified Puniceicoccaceae Family	Unclassified Rhizobiaceae Family	Unclassified Rhizobiales Order	Unclassified Rhodospirillaceae Family	Unclassified Rhodospirillales Order	Unclassified Rikenellaceae Family	Unclassified Ruminococcaceae Family	Unclassified Selenomonadales Order	Unclassified Sphingomonadaceae Family	Unclassified Spirochaetaceae Family	Unclassified Spirochaetales Order	Unclassified Streptococcaceae Family	Unclassified Succinivibrionaceae Family	Unclassified Thermoplasmata Class	Unclassified Veillonellaceae Family	Unclassified Verrucomicrobia Phylum	Variovorax	Veillonella	Victivallis	Wolinella
SRR6979109	2	24	0	199	195	5124	0	0	2	0	6	0	2	0	7	14	5	0	122	1	50	18	1	8	3	0	832	244	395	0	122	0	0	242	2	0	470	200	0	3	1	862	1	44	1766	0	0	0	0	5	307	1232	1	38	10	2	3	41	0	20	1544	0	215	0	0	0	2	2	65	92	834	2	0	905	4	668	63530	0	1	1	2	2157	556	0	0	0	5	16	9	0	0	8	0	2	328	122	3247	2	2	2	103	4	0	4008	2925	263	871	4	31	0	1793	2	74	16	6	0	134	2	16	295	12	95	11096	3	0	0	0	2	1343	3	2373	4244	57	0	6	1	77	6	3	9636	8	1	28	12	0	0	0	849	0	0	32	1	20
SRR6979110	0	0	0	0	15	3822	0	0	0	12	0	0	13	0	0	4378	6	0	97	462	31	0	0	5	7	0	12	236	320	1	45	0	0	163	0	0	34	84	0	2	8	66	0	0	5154	2	2	2	14	14	245	2524	41	0	2	0	0	39	0	2	546	0	6	0	0	0	0	3	7	47	6095	1	0	341	8	3254	19215	1	0	1	0	321	1014	3	0	4	0	2	17	0	0	15	3	1	47	0	466	14	0	3	268	0	0	6692	1802	337	916	2	58	1	1546	1	59	25	33	23	8	5	28	447	1	148	4810	5	0	1	4	0	5	0	14353	2648	80	0	0	0	181	27	0	10857	24	0	3	0	2	0	0	2553	0	0	26	0	17
SRR6979111	7	0	0	104	0	119	1	0	0	0	20	206	8	5	0	42	2	3	162	7	79	123	36	0	28	18	326	174	28	5	34	0	1	47	0	51	61	24	0	4253	1	8	6	35	199	3	293	23	1	0	31	63	16	5	4	1	3	100	6	0	50	0	30	19	510	0	0	10849	1	34	381	0	2	152	8	126	6278	0	1	2	0	107	5541	3	18	0	3	3	263	0	4	2	0	11321	1806	128	3713	3	1	4	2807	0	0	6937	2246	398	1230	1	646	4	14550	2	31	69	53	9	0	0	19	4220	13	5	2326	0	383	0	0	3	36	3	8668	743	771	187	2	1	396	494	11	16456	0	1	383	242	0	6	17	501	2038	1	11	29	1
SRR6979112	6	0	0	37	16	740	0	2	1	3	0	64	4	0	2	27	18	0	156	2	71	17	1	0	30	0	286	83	148	0	261	15	0	516	0	71	1031	401	0	1	2	0	2	969	12881	0	0	7	34	0	311	4	135	0	0	2	0	55	5	10	1146	0	298	17	1	0	0	15	28	20	888	0	0	75	6	2417	43411	2	0	0	0	1202	2248	25	3	5	3	11	0	1	3	6	0	8	450	9	430	4	2	0	72	3	0	4828	1578	10	23	0	85	0	2732	0	62	3	23	0	0	0	28	548	1	0	3759	2	0	0	0	5	2	0	1572	2194	17	0	2	0	84	11	15	9452	4	0	11	0	0	1	0	822	0	0	7	0	0
SRR6979113	0	0	0	0	0	108	4	0	0	0	0	0	1	0	0	2	0	0	3	320	0	0	0	0	0	0	0	6	1	37	0	0	0	0	87	1	0	0	1	68	0	31	0	0	76	0	0	0	0	0	0	4077	0	0	0	0	0	39	0	1	4	0	0	0	0	0	167	0	0	220	209	0	0	2	0	504	3371	0	29	0	0	36	0	0	0	1	0	0	0	24	0	0	0	173	0	1	101	2	0	0	8	0	0	703	111	1	3	6	10	28	347	6	0	0	0	0	36	5	0	75	0	258	501	0	0	0	0	0	0	0	402	190	20	0	553	60	0	1	0	668	0	17	8	10	0	0	0	377	9	0	0	0	32
SRR6979114	40	0	0	21	24	7144	0	1	2	12	0	0	14	1	0	74	8	0	100	0	40	143	0	0	8	0	183	33	353	6	287	0	3	153	0	931	1478	40	0	175	1	2548	2	7	1556	2	1738	8	0	0	374	16	18	33	1	1	1	48	2	0	264	0	138	0	18	0	1	3	25	81	5590	0	27	222	7	1408	25353	1	0	0	2	148	338	22	1592	7	14	168	3	0	3	0	0	4	2	174	1117	7	2	1	20	0	0	12590	10750	12	31	0	75	2	2885	0	116	27	247	38	355	0	30	617	29	2	2481	1	0	2	5	0	2	0	8206	2018	30	0	0	0	8	3	1	27638	10	0	17	11	0	0	1	947	1	0	9	0	0
SRR6979115	3	2	27	591	46	3113	2	1	13	4	3	52	12	4	0	175	23	2	264	4	214	122	4	7	208	16	430	180	568	99	345	1	0	411	0	1351	2512	181	2	2611	3	2	2	300	2576	0	101	23	1	0	564	83	52	6	12	1	63	71	28	1	365	0	2177	27	15	0	0	286	76	160	1382	6	9	750	10	15919	54371	1	0	1	173	512	414	26	0	6	4	62	50	0	9	9	0	71	997	9	830	88	2	0	422	0	0	12512	6144	76	205	1	189	24	5432	0	89	192	475	26	0	0	76	1677	1	4	4324	3	6	2	1	15	168	23	5133	4039	318	0	3	0	87	65	30	21396	223	0	27	9	1	2	0	2452	36	0	6	3	1
SRR6979116	30	0	0	0	7	446	109	0	0	3	5	34	1	4	2	0	120	0	465	0	166	3	0	25	342	0	614	142	89	360	907	16	0	319	5	190	493	923	0	0	11	0	2	1657	3093	0	33	24	4	0	720	12	29	42	0	1	2	43	33	5	710	197	32	20	12	3	1	25	16	494	1158	20	0	55	9	348	31514	0	2	0	60	613	1039	9	4	5	6	42	6	0	4	57	3	171	83	5	312	1	10	0	90	2	15	8315	1837	16	26	2	296	372	6688	0	271	62	90	5	0	2	91	1717	1	4	4763	56	5	0	5	46	0	2	3363	2095	217	0	5	3	53	6	10	31780	2	0	10	6	0	0	0	500	92	0	9	3	1
SRR6979117	66	1	0	30	25	106	2	0	0	0	0	59	1	0	3	46	225	4	572	5	224	14	0	0	332	6	664	114	74	45	1535	6	0	256	1	221	2566	247	1	0	9	1	4	2091	965	3	24	12	6	0	255	21	61	5	1	4	8	471	31	2	368	0	215	345	8	0	0	109	56	74	1065	9	0	277	135	310	7486	2	0	0	173	437	147	22	5	0	17	101	16	0	8	1015	1	85	262	8	560	2	11	1	105	3	6	8052	6159	22	59	0	448	21	9234	0	194	6	63	13	0	0	61	2205	0	2	2760	220	4	0	0	13	39	24	10685	675	29	1	2	2	22	42	7	38337	4	0	15	3	23	1	1	374	12	0	9	9	0
SRR6979118	152	0	5	6	0	7	19	11	0	8	0	954	2	24	2	4	238	0	278	0	252	0	0	3	374	22	433	130	148	58	301	0	0	403	15	267	376	799	1	1	0	1	7	311	244	0	23	34	3	0	450	14	30	10	0	1	3	489	15	0	67	0	3	212	6	1	4	582	198	141	787	12	12	152	8	122	11179	4	2	0	45	34	1208	3	40	0	56	10	0	0	13	7	1	352	92	0	260	0	4	1	50	1	1	8025	1875	42	73	0	426	62	10141	0	137	72	113	9	2	0	37	2836	1	3	3667	2	4	0	0	15	2	12	1640	945	220	0	6	1	5	7	9	32521	1	2	11	4	0	0	0	126	179	0	8	11	0
