Run	Actinobacteria	Bacteroidetes	Candidatus Saccharibacteria	Cyanobacteria/Chloroplast	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Lentisphaerae	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Verrucomicrobia
SRR6979109	287	83348	0	0	3	0	0	34855	5	3	5604	3297	0	0	2
SRR6979110	124	53260	0	3	2	0	2	38198	14	3	4720	948	0	16	1
SRR6979111	78	25431	18	0	4253	546	293	46674	0	11261	8359	4608	18	0	13546
SRR6979112	369	54512	3	0	1	18	0	42956	0	15	789	443	0	3	8
SRR6979113	0	4889	0	0	68	0	0	3151	0	0	5423	439	0	0	182
SRR6979114	614	66564	1592	0	175	19	1738	47238	0	3	4476	1148	0	17	5
SRR6979115	581	87014	0	0	2611	42	101	65988	0	295	4520	920	16	5	134
SRR6979116	1263	47758	4	3	0	32	33	60808	0	33	972	334	0	8	263
SRR6979117	1924	33765	5	1	0	354	24	66875	0	122	948	599	6	0	98
SRR6979118	707	24092	40	1	1	218	23	58297	0	597	1033	275	22	8	536
SRR6979119	177	12200	56	0	249	5	58	6721	14	135	3112	287	0	6	298
SRR6979120	192	89449	24	3	40	53	207	59602	1	10	1593	2229	6	0	106
SRR6979121	279	38062	8	1	76	88	227	45379	0	9102	5720	5705	2	0	10498
SRR6979122	231	63752	4	0	0	118	236	30317	0	2973	14907	1385	3	0	7316
SRR6979123	810	35995	0	0	0	44	118	33844	0	309	10093	1080	0	0	439
SRR6979124	160	82949	17	0	2590	347	337	69206	4	1293	5302	2357	34	0	2446
SRR6979125	19	41373	0	0	0	0	0	14696	0	123	16826	170	0	0	389
SRR6979126	72	7326	0	0	51	0	0	3191	0	65	3250	96	0	34	71
SRR6979127	228	21791	0	0	0	0	8	18439	0	1017	1344	820	0	0	520
SRR6979128	424	42482	0	0	0	0	0	16147	91	0	3563	17	0	0	0
SRR6979129	142	66862	6	0	686	114	442	28834	0	1425	4590	1238	0	144	2828
SRR6979130	755	53646	2	3	0	2	0	68400	2	39	1486	1926	0	0	296
SRR6979131	1307	39582	23	6	1	217	155	61587	0	239	909	232	0	0	655
SRR6979132	678	39051	1	0	2	13	0	59671	1	3004	1860	5155	0	0	519
SRR6979133	1	1096	0	0	168	0	0	1070	0	0	4918	20	0	2	1
SRR6979134	43	69124	0	0	0	0	5	18383	0	11	5612	339	0	30	27
SRR6979135	295	19730	0	0	0	294	107	49328	0	242	7171	3973	21	0	568
SRR6979136	261	62217	5	0	0	12	0	40446	0	6	259	83	0	0	76
SRR6979137	638	57061	0	0	113	4	87	42917	0	103	3416	274	4	2	475
SRR6979138	8	52032	0	0	0	0	0	16950	0	50	5157	1840	0	72	0
SRR6979139	27	57581	0	0	962	109	216	31053	0	1697	2584	10267	0	0	5112
SRR6979140	244	47045	1	0	0	35	2	22968	2	947	4862	1184	0	123	585
SRR6979141	811	91401	722	1	248	66	964	41060	3	326	4895	3326	0	64	1047
SRR6979142	445	74991	6	0	6319	42	605	48929	0	250	5688	848	0	0	209
SRR6979143	917	86598	4	0	5	0	0	50223	0	1	3146	2	0	0	0
SRR6979144	99	31165	0	0	0	0	0	19738	0	148	5919	231	0	0	54
SRR6979145	685	70742	0	0	1	25	0	58041	1	835	3529	7055	0	0	1817
SRR6979146	1939	41618	9	3	0	144	37	90390	0	240	1381	335	78	0	307
SRR6979147	121	41116	0	0	1269	61	224	23978	1	593	4792	655	0	0	1425
SRR6979148	604	58878	10	2	0	298	972	55158	3	801	1886	2226	1	0	3152
SRR6979149	149	27537	0	0	0	10	9	22759	66	252	24875	1838	739	0	460
SRR6979150	438	19233	3	0	4	0	0	13390	50	36	53327	382	0	0	94
SRR6979151	372	68057	11	0	5	17	3	43558	5	31	2819	110	0	0	59
SRR6979152	949	43149	18	1	0	83	117	74855	0	895	936	852	56	0	558
SRR6979153	209	67625	3	0	1	64	4	34771	1	432	4429	3567	1	20	509
SRR6979154	1646	66763	10	9	0	0	0	51690	0	3	2141	1	0	0	1
SRR6979155	653	41312	13	4	2	337	527	47319	0	1786	3677	2684	43	12	2322
SRR6979156	62	33342	2	0	1	656	1053	40464	0	13611	5320	15092	5	1	13864
SRR6979157	115	35399	3	0	0	301	339	31487	0	4932	5167	11646	0	99	15569
SRR6979158	40	3359	10	0	0	0	3	1678	0	2	17062	79	0	0	35
SRR6979159	173	24688	0	0	0	0	0	6651	0	45	10476	2360	0	0	0
