Run	Acidaminococcaceae	Anaeroplasmataceae	Bacillaceae 1	Bacteroidaceae	Brachyspiraceae	Campylobacteraceae	Chloroplast	Clostridiaceae 1	Clostridiales_Incertae Sedis XIII	Comamonadaceae	Coriobacteriaceae	Desulfovibrionaceae	Elusimicrobiaceae	Enterobacteriaceae	Erysipelotrichaceae	Eubacteriaceae	Fibrobacteraceae	Fusobacteriaceae	Helicobacteraceae	Lachnospiraceae	Lactobacillaceae	Marinilabiliaceae	Methanobacteriaceae	Methanomassiliicoccaceae	Oligosphaeraceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Puniceicoccaceae	Rhizobiaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Saccharibacteria_genera_incertae_sedis	Sphingomonadaceae	Spirochaetaceae	Streptococcaceae	Subdivision5_genera_incertae_sedis	Succinivibrionaceae	Sutterellaceae	Synergistaceae	Unclassified Actinobacteria Class	Unclassified Actinomycetales Order	Unclassified Alphaproteobacteria Class	Unclassified Bacillales Order	Unclassified Bacilli Class	Unclassified Bacteroidales Order	Unclassified Bacteroidetes Phylum	Unclassified Betaproteobacteria Class	Unclassified Burkholderiales Order	Unclassified Campylobacterales Order	Unclassified Clostridia Class	Unclassified Clostridiales Order	Unclassified Deltaproteobacteria Class	Unclassified Desulfovibrionales Order	Unclassified Epsilonproteobacteria Class	Unclassified Firmicutes Phylum	Unclassified Gammaproteobacteria Class	Unclassified Lactobacillales Order	Unclassified Lentisphaerae Phylum	Unclassified Mollicutes Class	Unclassified Proteobacteria Phylum	Unclassified Rhizobiales Order	Unclassified Rhodospirillales Order	Unclassified Selenomonadales Order	Unclassified Spirochaetales Order	Unclassified Thermoplasmata Class	Unclassified Verrucomicrobia Phylum	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae
SRR6979109	670	0	7	14	1	8	0	0	0	4	283	6	3	996	20	44	0	5	1347	16168	0	0	0	0	2	4	1367	4	8	2396	73803	0	9	77	202	14027	0	1	3284	8	2	328	122	0	2	2	103	4	0	4008	2925	263	871	4	31	1793	16	0	2	295	12	3	0	0	57	1	6	8	12	0	0	1765	0	1
SRR6979110	3268	12	0	4378	462	5	3	2	0	1	121	33	2	74	76	0	2	14	2689	6646	0	1	0	0	3	1	5	8	0	14361	26026	0	0	181	0	23450	0	0	486	17	1	47	0	0	0	3	268	0	0	6692	1802	337	916	2	58	1546	25	23	5	447	1	5	0	4	80	0	27	24	0	0	0	2651	0	0
SRR6979111	129	0	0	42	7	0	0	10	5	3	73	107	4253	8	69	35	293	0	69	3023	0	0	19	510	10849	3	36	8	6	8799	7292	187	3	396	115	23360	18	1	4359	2	11321	1812	128	18	1	4	2807	0	0	6937	2246	398	1230	1	646	14550	69	9	0	4220	13	0	383	0	771	1	494	0	242	17	2038	611	0	29
SRR6979112	2421	3	2	27	2	0	0	0	0	0	367	94	1	0	213	969	0	0	4	7501	0	0	17	1	15	5	2	6	0	1607	46420	0	2	84	52	26280	3	1	441	6	8	451	9	0	2	0	72	3	0	4828	1578	10	23	0	85	2732	3	0	0	548	1	2	0	0	17	0	11	4	0	0	0	2184	0	0
SRR6979113	506	0	0	2	320	0	0	69	0	93	0	1	68	67	0	0	0	0	4367	773	0	0	0	0	0	0	0	0	0	402	3671	0	749	0	0	992	0	41	109	0	173	0	1	0	0	0	8	0	0	703	111	1	3	6	10	347	0	0	5	75	0	0	0	0	20	60	1	0	10	0	9	379	0	0
SRR6979114	1415	12	0	74	0	0	0	8	1	0	611	1178	175	2903	58	7	1738	0	18	3709	0	2	0	18	3	0	2	7	3	8389	34737	0	1	8	22	35823	1592	0	1137	0	4	2	174	0	2	1	20	0	0	12590	10750	12	31	0	75	2885	27	38	0	617	29	1	0	5	30	0	3	10	11	1	1	2619	0	0
SRR6979115	16007	4	0	175	4	7	0	125	4	0	579	1828	2611	2	365	300	101	0	88	7021	0	2	27	15	286	21	170	10	259	5287	62273	0	3	87	621	27139	0	0	907	10	71	999	9	16	2	0	422	0	0	12512	6144	76	205	1	189	5432	192	26	0	1677	1	3	6	1	318	0	65	223	9	0	36	7224	27	3
SRR6979116	349	3	2	0	0	25	3	841	4	5	1253	280	0	0	511	1657	33	0	17	8586	197	0	20	12	25	66	0	9	64	3486	34110	0	8	53	10	38708	4	0	328	57	171	83	5	0	10	0	90	2	15	8315	1837	16	26	2	296	6688	62	5	2	1717	1	56	5	5	217	3	6	2	6	0	92	1047	0	3
SRR6979117	312	0	3	46	5	0	1	68	0	1	1912	288	0	1	491	2091	24	0	23	4939	0	0	345	8	109	22	40	135	205	10927	8544	1	2	22	37	42283	5	0	591	1038	85	263	8	6	11	1	105	3	6	8052	6159	22	59	0	448	9234	6	13	0	2205	0	220	4	0	29	2	42	4	3	1	12	3190	0	9
SRR6979118	122	8	2	4	0	3	1	139	24	15	702	380	1	3	456	311	23	0	17	5685	0	0	212	6	582	27	2	8	60	1890	12283	0	12	5	15	37560	40	2	271	7	352	92	0	22	4	1	50	1	1	8025	1875	42	73	0	426	10141	72	9	0	2836	1	2	4	0	220	1	7	1	4	0	179	515	5	11
