Run	SraAccession	Age	dev_stage	tissue
SRR6979109	SRR6979109	8.7	young	feces
SRR6979110	SRR6979110	10.7	young	feces
SRR6979111	SRR6979111	22.9	old	feces
SRR6979112	SRR6979112	12.4	young	lumen
SRR6979113	SRR6979113	22	old	mucosa
SRR6979114	SRR6979114	19.7	old	lumen
SRR6979115	SRR6979115	8.5	young	lumen
SRR6979116	SRR6979116	23.7	old	lumen
SRR6979117	SRR6979117	12.5	young	lumen
SRR6979118	SRR6979118	23.7	old	lumen
SRR6979119	SRR6979119	19.7	old	mucosa
SRR6979120	SRR6979120	22	old	lumen
SRR6979121	SRR6979121	21.6	old	feces
SRR6979122	SRR6979122	13.7	young	feces
SRR6979123	SRR6979123	23.6	old	mucosa
SRR6979124	SRR6979124	22.9	old	lumen
SRR6979125	SRR6979125	21.6	old	mucosa
SRR6979126	SRR6979126	8.7	young	mucosa
SRR6979127	SRR6979127	11.5	young	mucosa
SRR6979128	SRR6979128	20.6	old	mucosa
SRR6979129	SRR6979129	23.6	old	feces
SRR6979130	SRR6979130	9.8	young	lumen
SRR6979131	SRR6979131	23.6	old	lumen
SRR6979132	SRR6979132	10.6	young	feces
SRR6979133	SRR6979133	8.5	young	mucosa
SRR6979134	SRR6979134	23.7	old	mucosa
SRR6979135	SRR6979135	12.5	young	mucosa
SRR6979136	SRR6979136	10.6	young	lumen
SRR6979137	SRR6979137	23.6	old	feces
SRR6979138	SRR6979138	12.4	young	mucosa
SRR6979139	SRR6979139	22	old	feces
SRR6979140	SRR6979140	23.7	old	mucosa
SRR6979141	SRR6979141	19.7	old	feces
SRR6979142	SRR6979142	8.5	young	feces
SRR6979143	SRR6979143	20.6	old	feces
SRR6979144	SRR6979144	13.7	young	mucosa
SRR6979145	SRR6979145	9.8	young	feces
SRR6979146	SRR6979146	21.6	old	lumen
SRR6979147	SRR6979147	22.9	old	mucosa
SRR6979148	SRR6979148	23.6	old	feces
SRR6979149	SRR6979149	21.6	old	mucosa
SRR6979150	SRR6979150	8.7	young	lumen
SRR6979151	SRR6979151	21.6	old	lumen
SRR6979152	SRR6979152	11.5	young	lumen
SRR6979153	SRR6979153	12.4	young	feces
SRR6979154	SRR6979154	20.6	old	lumen
SRR6979155	SRR6979155	23.7	old	feces
SRR6979156	SRR6979156	12.5	young	feces
SRR6979157	SRR6979157	23.7	old	feces
SRR6979158	SRR6979158	23.6	old	mucosa
SRR6979159	SRR6979159	10.6	young	mucosa
